SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,Latitude,Longitude,Location
Vacant/Abandoned Building,18-03380438,12/17/2018,Front,,Open,FRONT DOOR,Vacant,FALSE,FALSE,8201,S,ADA,ST,60620,1168755.218,1850381.029,21,6,71,41.74496469,-87.65723278,"(41.744964687112, -87.65723277941)"
Vacant/Abandoned Building,18-03379703,12/17/2018,Front,,Open,BAC,Vacant,FALSE,TRUE,7840,S,BENNETT,AVE,60649,1190229.942,1853363.519,8,4,43,41.75265895,-87.5784512,"(41.752658951975, -87.57845120487)"
Vacant/Abandoned Building,18-03384005,12/17/2018,Front,,Open,,Vacant,FALSE,FALSE,8455,S,BURNHAM,AVE,60617,1196293.482,1849447.121,7,4,46,41.74176392,-87.55636087,"(41.74176391586, -87.556360874371)"
Vacant/Abandoned Building,18-03382499,12/17/2018,Front,,Open,OPEN LOT,Occupied,FALSE,TRUE,731,N,PULASKI,RD,60624,1149592.312,1904587.94,37,11,23,41.89410779,-87.72604546,"(41.894107794896, -87.726045464583)"
Vacant/Abandoned Building,18-03374995,12/16/2018,Rear,,Boarded,,Vacant,FALSE,FALSE,8530,S,CARPENTER,ST,60620,1170805.105,1848250.943,21,6,71,41.739075,-87.64978369,"(41.739074997042, -87.649783686208)"
Vacant/Abandoned Building,18-03373667,12/16/2018,Rear,,Open,NORTHSIDE OF HOUSE,Vacant,FALSE,FALSE,6653,S,WABASH,AVE,60637,1177752.525,1860898.806,20,3,69,41.77362794,-87.62394764,"(41.773627937367, -87.623947644911)"
Vacant/Abandoned Building,18-03371860,12/16/2018,Front,,Boarded,,Vacant,FALSE,FALSE,6058,S,MOZART,ST,60629,1158417.219,1864343.723,16,8,66,41.78349708,-87.69473316,"(41.783497076114, -87.694733158334)"
Vacant/Abandoned Building,18-03364763,12/15/2018,Front,,Open,FRONT,Vacant,FALSE,TRUE,7222,S,EUCLID,AVE,60649,1190294.444,1857380.61,5,3,43,41.76368064,-87.5780856,"(41.76368063945, -87.57808559634)"
Vacant/Abandoned Building,18-03363941,12/15/2018,Front,,Open,FRONT AND REAR,Vacant,FALSE,FALSE,1131,S,MOZART,ST,60612,1157527.9,1895040.02,28,11,29,41.86774956,-87.69716038,"(41.867749559059, -87.697160376093)"
Vacant/Abandoned Building,18-03366142,12/15/2018,Front,,Open,DOORS/WINDOWS,Vacant,TRUE,FALSE,13143,S,CARONDOLET,AVE,60633,1198433.732,1818412.97,10,4,55,41.65654996,-87.54955402,"(41.656549964729, -87.549554018732)"
Vacant/Abandoned Building,18-03359362,12/14/2018,Front,,Boarded,,Vacant,FALSE,FALSE,11137,S,ASHLAND,AVE,60643,1167487.045,1830768.032,34,22,75,41.69117084,-87.66243957,"(41.691170836753, -87.662439568779)"
Vacant/Abandoned Building,18-03359220,12/14/2018,Front,,Boarded,,Vacant,FALSE,FALSE,1041,W,103RD,PL,60643,1171203.673,1836184.36,34,22,73,41.70595385,-87.64867501,"(41.705953848025, -87.648675009641)"
Vacant/Abandoned Building,18-03359445,12/14/2018,Front,,Open,,Vacant,FALSE,TRUE,313,W,111TH,ST,60628,1176113.189,1831318.671,34,5,49,41.69249317,-87.63084209,"(41.692493167773, -87.630842086452)"
Vacant/Abandoned Building,18-03359302,12/14/2018,Front,,Boarded,,Vacant,FALSE,FALSE,1221,W,107TH,PL,60643,1170059.726,1833488.334,34,22,75,41.69858041,-87.65294206,"(41.698580409934, -87.652942064189)"
Vacant/Abandoned Building,18-03361044,12/14/2018,Front,,Boarded,REAR,Vacant,FALSE,TRUE,1344,S,SPRINGFIELD,AVE,60623,1150594.28,1893464.274,24,10,29,41.86356371,-87.72265621,"(41.863563708931, -87.722656213422)"
Vacant/Abandoned Building,18-03359363,12/14/2018,Front,,Open,,Vacant,FALSE,TRUE,518,N,TROY,ST,60612,1155283.8,1903354.415,27,12,23,41.89061044,-87.70517548,"(41.890610439731, -87.705175484833)"
Vacant/Abandoned Building,18-03359458,12/14/2018,Front,,Open,ENTERING THROUGH THE FRONT AND THE GARAGE.,Vacant,FALSE,TRUE,5545,S,HONORE,ST,60636,1164966.16,1867830.873,15,7,67,41.79293028,-87.67062383,"(41.792930277198, -87.670623834892)"
Vacant/Abandoned Building,18-03358253,12/14/2018,Front,,Open,"DOORS, FROMT AND REAR",Occupied,FALSE,TRUE,620,E,89TH,PL,60619,1181938.639,1845771.199,6,6,44,41.73202039,-87.60906922,"(41.732020387326, -87.609069222012)"
Vacant/Abandoned Building,18-03359591,12/14/2018,Front,,Boarded,,Vacant,FALSE,TRUE,11841,S,LAFAYETTE,AVE,60628,1178042.355,1826446.197,34,5,53,41.67907899,-87.62392602,"(41.679078985654, -87.623926019425)"
Vacant/Abandoned Building,18-03358497,12/14/2018,Front,,Open,,Vacant,FALSE,FALSE,3533,N,OZARK,AVE,60634,1123790.525,1922547.402,38,16,17,41.94385306,-87.82041467,"(41.943853058031, -87.820414667337)"
Vacant/Abandoned Building,18-03359550,12/14/2018,Front,,Boarded,,Vacant,FALSE,TRUE,11011,S,HALSTED,ST,60628,1172943.853,1831833.09,34,22,49,41.69397516,-87.64243042,"(41.693975158873, -87.642430424044)"
Vacant/Abandoned Building,18-03359572,12/14/2018,Front,,Open,,Vacant,TRUE,TRUE,12312,S,LOWE,AVE,60628,1174168.41,1823234.89,34,5,53,41.67035329,-87.63820102,"(41.670353294772, -87.638201016169)"
Vacant/Abandoned Building,18-03362259,12/14/2018,Front,,Open,,Vacant,FALSE,TRUE,6057,S,MOZART,ST,60629,1158417.119,1864350.423,16,8,66,41.78351546,-87.69473334,"(41.783515463899, -87.694733342533)"
Vacant/Abandoned Building,18-03359892,12/14/2018,Garage,,Boarded,,Vacant,FALSE,FALSE,2651,W,AUGUSTA,BLVD,60622,1158539.098,1906551.044,26,12,24,41.89931625,-87.69313283,"(41.899316252056, -87.693132831124)"
Vacant/Abandoned Building,18-03359335,12/14/2018,Front,,Boarded,,Vacant,FALSE,FALSE,1001,W,102ND,ST,60643,1171439.328,1837182.866,34,22,73,41.70868876,-87.64778295,"(41.708688755349, -87.647782949816)"
Vacant/Abandoned Building,18-03361423,12/14/2018,Front,,Open,GARAGE,Vacant,FALSE,FALSE,500,W,103RD,PL,60628,1174791.253,1836263.668,34,22,49,41.70609246,-87.63553522,"(41.706092458501, -87.635535217149)"
Vacant/Abandoned Building,18-03361069,12/14/2018,Rear,,Boarded,REAR,Vacant,FALSE,TRUE,1346,S,SPRINGFIELD,AVE,60623,1150594.68,1893450.774,24,10,29,41.86352666,-87.7226551,"(41.863526655536, -87.722655097554)"
Vacant/Abandoned Building,18-03360079,12/14/2018,Rear,,Open,REAR,Vacant,FALSE,TRUE,9032,S,THROOP,ST,60620,1169245.409,1844875.098,21,22,73,41.72984505,-87.65559552,"(41.729845048915, -87.655595517287)"
Vacant/Abandoned Building,18-03353470,12/13/2018,Front,,Open,DOORS AND WINDOWS,Vacant,FALSE,TRUE,2045,W,WASHINGTON,BLVD,60612,1162758.532,1900683.878,27,12,28,41.88312883,-87.67779957,"(41.883128826693, -87.677799568016)"
Vacant/Abandoned Building,18-03353495,12/13/2018,Front,,Open,WINDOWS 2ND FLOOR,Vacant,FALSE,TRUE,333,S,STATE,ST,60604,1176425.815,1898835.89,4,1,32,41.8777604,-87.62766878,"(41.87776039668, -87.627668782428)"
Vacant/Abandoned Building,18-03354258,12/13/2018,Front,,Boarded,,Vacant,FALSE,FALSE,4600,S,LA CROSSE,AVE,60638,1144798.754,1873696.569,22,8,56,41.80942949,-87.74442895,"(41.809429488538, -87.74442895073)"
Vacant/Abandoned Building,18-03354063,12/13/2018,Front,,Open,DOORS AND WINDOWS ARE OPEN,Occupied,FALSE,TRUE,2948,N,MEADE,AVE,60634,1135220.766,1918962.195,30,25,19,41.93381949,-87.77848687,"(41.933819489185, -87.778486866408)"
Vacant/Abandoned Building,18-03352788,12/13/2018,Front,,Open,,Vacant,FALSE,FALSE,3019,E,79TH,PL,60617,1197681.154,1852835.05,7,4,46,41.75102615,-87.55116377,"(41.751026149483, -87.551163768599)"
Vacant/Abandoned Building,18-03355620,12/13/2018,Front,,Open,ALL OVER,Vacant,FALSE,FALSE,8446,S,ESCANABA,AVE,60617,1196953.1,1849525.09,10,4,46,41.7419615,-87.55394152,"(41.741961500944, -87.553941522771)"
Vacant/Abandoned Building,18-03346875,12/13/2018,Front,,Open,FRONT AND REAR,Vacant,FALSE,TRUE,7200,S,PEORIA,ST,60621,1171550.988,1857101.507,6,7,68,41.76334581,-87.64679217,"(41.763345807946, -87.646792165129)"
Vacant/Abandoned Building,18-03352756,12/13/2018,Front,,Open,,Vacant,FALSE,FALSE,1732,W,19TH,ST,60608,1165069.589,1890786.232,25,12,31,41.85592008,-87.66959429,"(41.855920076447, -87.66959428509)"
Vacant/Abandoned Building,18-03352344,12/13/2018,Front,,Boarded,,Vacant,,FALSE,9312,S,KENWOOD,AVE,,1186736.38,1843505.514,8,4,47,41.72569097,-87.59156486,"(41.72569097262, -87.5915648569)"
Vacant/Abandoned Building,18-03353930,12/13/2018,Rear,,Open,FRONT,Vacant,FALSE,TRUE,2023,N,DRAKE,AVE,60647,1152489.382,1913326.075,26,14,22,41.91802929,-87.7151741,"(41.918029292607, -87.715174102331)"
Vacant/Abandoned Building,18-03346803,12/13/2018,Rear,,Open,,Vacant,TRUE,TRUE,6619,S,DREXEL,AVE,60637,1183363.26,1861313.264,5,3,42,41.77463641,-87.60336722,"(41.774636407388, -87.603367222789)"
Vacant/Abandoned Building,18-03350823,12/13/2018,Front,,Boarded,NONE,Vacant,FALSE,FALSE,126,N,KARLOV,AVE,60624,1149044.479,1900303.351,28,11,26,41.88236104,-87.72816847,"(41.882361040306, -87.728168474173)"
Vacant/Abandoned Building,18-03347062,12/13/2018,Front,,Open,FRONT DOOR,Vacant,FALSE,TRUE,520,W,80TH,ST,60620,1174138.198,1851859.423,17,6,44,41.74890383,-87.63746497,"(41.748903831945, -87.637464969029)"
Vacant/Abandoned Building,18-03346905,12/13/2018,,,,,,,,3035,W,40TH,ST,60632,1156769.756,1877948.589,12,9,58,41.82086409,-87.70040608,"(41.820864088648, -87.700406076323)"
Vacant/Abandoned Building,18-03338123,12/12/2018,,,,,,,,1348,S,KEELER,AVE,60623,1148599.961,1893386.925,24,10,29,41.86339015,-87.72997929,"(41.863390148639, -87.729979286948)"
Vacant/Abandoned Building,18-03341382,12/12/2018,,,,,,,,7337,S,PEORIA,ST,60621,1171576.18,1856190.274,17,7,68,41.76084472,-87.64672649,"(41.760844718632, -87.646726488304)"
Vacant/Abandoned Building,18-03340611,12/12/2018,Rear,,Open,,Vacant,FALSE,TRUE,1644,N,KEELER,AVE,60639,1148136.85,1910598.783,26,25,23,41.91063031,-87.73123602,"(41.910630312598, -87.731236018959)"
Vacant/Abandoned Building,18-03340682,12/12/2018,Front,,Open,,Vacant,FALSE,TRUE,3329,S,MORGAN,ST,60608,1170188.047,1882782.97,11,9,60,41.83384831,-87.65104048,"(41.833848312776, -87.651040477539)"
Vacant/Abandoned Building,18-03342446,12/12/2018,Rear,,Open,,Vacant,FALSE,FALSE,1822,N,WOLCOTT,AVE,60622,1163400.117,1912157.716,32,14,22,41.91460043,-87.67512039,"(41.914600432552, -87.675120388496)"
Vacant/Abandoned Building,18-03341192,12/12/2018,,,,,,,,255,E,135TH,PL,60827,1180549.46,1815480.38,9,5,54,41.64893009,-87.61508357,"(41.648930091978, -87.6150835693)"
Vacant/Abandoned Building,18-03344216,12/12/2018,Front,,Open,FRONT DOOR,Vacant,FALSE,TRUE,5239,W,RACE,AVE,60644,1141341.825,1903050.76,37,15,25,41.89004584,-87.75638522,"(41.890045835101, -87.75638522083)"
Vacant/Abandoned Building,18-03344030,12/12/2018,Front,,Open,,Vacant,FALSE,TRUE,9704,S,OGLESBY,AVE,60617,1193644.332,1840900.585,10,4,51,41.71837667,-87.56634611,"(41.71837666639, -87.566346114495)"
Vacant/Abandoned Building,18-03341165,12/12/2018,,,,,,,,1920,W,22ND,PL,60608,1163919.672,1889092.36,25,10,31,41.85129624,-87.6738628,"(41.851296243561, -87.673862795124)"
Vacant/Abandoned Building,18-03338053,12/12/2018,,,,,,,,2400,S,DRAKE,AVE,60623,1153081.557,1887826.718,22,10,30,41.84804468,-87.71367488,"(41.848044684349, -87.713674875059)"
Vacant/Abandoned Building,18-03344094,12/12/2018,Front,,Open,,Vacant,FALSE,TRUE,11732,S,LA SALLE,ST,60628,1177364.277,1827152.4,34,5,53,41.68103221,-87.62638684,"(41.681032209812, -87.626386840343)"
Vacant/Abandoned Building,18-03340579,12/12/2018,Front,,Open,,Vacant,FALSE,FALSE,116,W,113TH,PL,60628,1177442.422,1829695.088,34,5,49,41.68800797,-87.62602437,"(41.688007966738, -87.626024372928)"
Vacant/Abandoned Building,18-03343200,12/12/2018,Front,,Open,FRONT,Vacant,FALSE,FALSE,2101,N,KENMORE,AVE,60614,1168957.862,1914140.961,43,18,7,41.91992371,-87.65464445,"(41.919923707974, -87.654644454309)"
Vacant/Abandoned Building,18-03340326,12/12/2018,Front,,Boarded,,Vacant,FALSE,FALSE,822,N,LOCKWOOD,AVE,60651,1140872.547,1904968.354,37,15,25,41.89531659,-87.75806143,"(41.895316591166, -87.758061431796)"
Vacant/Abandoned Building,18-03342983,12/12/2018,,,,,,,,1609,N,RICHMOND,ST,60647,1156573.658,1910568.769,1,14,24,41.91038126,-87.70024297,"(41.91038125556, -87.700242967313)"
Vacant/Abandoned Building,18-03340203,12/12/2018,Front,,Open,DOOR,Vacant,FALSE,FALSE,3249,N,NATCHEZ,AVE,60634,1132477.38,1920899.465,36,16,17,41.93918386,-87.78852365,"(41.939183857174, -87.788523646808)"
Vacant/Abandoned Building,18-03342082,12/12/2018,Front,,Open,,Vacant,FALSE,FALSE,6556,S,RHODES,AVE,60637,1181028.394,1861660.17,20,3,42,41.77564242,-87.61191571,"(41.775642417458, -87.611915714161)"
Vacant/Abandoned Building,18-03341237,12/12/2018,Front,,Open,,Vacant,FALSE,FALSE,7339,S,PEORIA,ST,60621,1171576.48,1856176.874,17,7,68,41.76080794,-87.64672578,"(41.760807940779, -87.646725780785)"
Vacant/Abandoned Building,18-03341010,12/12/2018,Garage,,Open,FRONT,Vacant,FALSE,FALSE,105,W,113TH,PL,60628,1177505.722,1829696.588,34,5,49,41.68801066,-87.62579259,"(41.688010656495, -87.625792593216)"
Vacant/Abandoned Building,18-03341066,12/12/2018,,,,,,,,1023,W,IRVING PARK,RD,60613,1168636.53,1926729.115,46,19,6,41.95447315,-87.65545936,"(41.954473154904, -87.655459356873)"
Vacant/Abandoned Building,18-03341033,12/12/2018,Rear,,Open,,Vacant,FALSE,FALSE,5435,S,JUSTINE,ST,60609,1166928.981,1868682.862,16,9,61,41.79522649,-87.66340204,"(41.795226489259, -87.663402040403)"
Vacant/Abandoned Building,18-03344283,12/12/2018,Front,,Open,REAR ENTRY,Vacant,FALSE,TRUE,1240,W,97TH,ST,60643,1169757.005,1840605.246,21,22,73,41.71811688,-87.65384486,"(41.71811687601, -87.653844859007)"
Vacant/Abandoned Building,18-03341155,12/12/2018,,,,,,,,1657,S,CENTRAL PARK,AVE,60623,1152646.18,1891421.23,24,10,29,41.85791706,-87.71517777,"(41.857917063491, -87.715177772014)"
Vacant/Abandoned Building,18-03343007,12/12/2018,,,,,,,,1611,N,RICHMOND,ST,60647,1156573.158,1910584.569,1,14,24,41.91042462,-87.70024438,"(41.910424622206, -87.700244375709)"
Vacant/Abandoned Building,18-03340390,12/12/2018,Rear,,Boarded,,Vacant,FALSE,FALSE,5404,W,WASHINGTON,BLVD,60644,1140282.781,1900222.736,28,15,25,41.88230486,-87.76034391,"(41.882304856706, -87.760343910511)"
Vacant/Abandoned Building,18-03331069,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,4036,W,MONROE,ST,60624,1149497.796,1899355.222,28,11,26,41.87975049,-87.72652849,"(41.879750485677, -87.726528492802)"
Vacant/Abandoned Building,18-03331065,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,4011,W,WILCOX,ST,60624,1149676.858,1899034.282,28,11,26,41.87886631,-87.72587934,"(41.87886631442, -87.725879339155)"
Vacant/Abandoned Building,18-03331077,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,4248,W,ADAMS,ST,60624,1148102.606,1898672.44,28,11,26,41.87790381,-87.73166906,"(41.877903808051, -87.731669058083)"
Vacant/Abandoned Building,18-03332099,12/11/2018,Rear,,Boarded,BACKYARD,Vacant,FALSE,FALSE,1154,W,88TH,ST,60620,1170085.338,1846440.088,21,22,71,41.73412141,-87.65247326,"(41.734121413914, -87.652473263681)"
Vacant/Abandoned Building,18-03334134,12/11/2018,Front,,Open,REAR DOOR,Vacant,FALSE,FALSE,2039,W,69TH,PL,60636,1163963.332,1858564.4,17,7,67,41.76752301,-87.67456141,"(41.767523007546, -87.674561412594)"
Vacant/Abandoned Building,18-03334688,12/11/2018,Rear,,Open,DOORS AND WINDOWS,Vacant,FALSE,FALSE,1820,N,WOLCOTT,AVE,60622,1163400.517,1912144.616,32,14,22,41.91456448,-87.67511929,"(41.914564476839, -87.675119288313)"
Vacant/Abandoned Building,18-03334552,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,1544,S,KEELER,AVE,60623,1148638.088,1892084.222,24,10,29,41.85981464,-87.72987294,"(41.85981463705, -87.729872937782)"
Vacant/Abandoned Building,18-03331935,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,4138,W,JACKSON,BLVD,60624,1148848.33,1898364.819,28,11,26,41.87704528,-87.72893887,"(41.87704528405, -87.728938871627)"
Vacant/Abandoned Building,18-03331043,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,4050,W,MONROE,ST,60624,1149740.496,1899361.022,28,11,26,41.87976169,-87.72563717,"(41.879761689259, -87.725637174016)"
Vacant/Abandoned Building,18-03332791,12/11/2018,Front,,Boarded,,Vacant,FALSE,FALSE,2455,W,79TH,ST,60652,1161300.998,1852211.853,18,8,70,41.75014622,-87.6844957,"(41.750146222516, -87.684495697159)"
Vacant/Abandoned Building,18-03335450,12/11/2018,Rear,,Open,,Vacant,TRUE,TRUE,6152,S,ARTESIAN,AVE,60629,1161093.919,1863794.127,16,8,66,41.78193394,-87.68493459,"(41.781933939776, -87.684934585065)"
Vacant/Abandoned Building,18-03334213,12/11/2018,Rear,,Boarded,REAR,Vacant,FALSE,FALSE,1342,S,HEATH,AVE,60608,1161026.89,1893815.924,28,12,28,41.86431865,-87.68434894,"(41.864318648905, -87.684348935215)"
Vacant/Abandoned Building,18-03332485,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,1330,W,CARMEN,AVE,60640,1166509.687,1934036.057,47,20,3,41.97456957,-87.66306778,"(41.974569572403, -87.663067781695)"
Vacant/Abandoned Building,18-03335620,12/11/2018,,,,,,,,5206,S,HERMITAGE,AVE,60609,1165561.061,1870176.336,16,9,61,41.79935391,-87.66837587,"(41.799353906495, -87.668375870631)"
Vacant/Abandoned Building,18-03330480,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,5020,W,FULTON,ST,60644,1142857.414,1901473.943,28,15,25,41.88569076,-87.75085853,"(41.885690762918, -87.750858530959)"
Vacant/Abandoned Building,18-03330694,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,4129,W,ADAMS,ST,60624,1148898.541,1898690.926,28,11,26,41.87793919,-87.72874608,"(41.877939186924, -87.72874607717)"
Vacant/Abandoned Building,18-03330614,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,4211,W,WILCOX,ST,60624,1148340.921,1899003.282,28,11,26,41.87880709,-87.73078549,"(41.878807087249, -87.730785489335)"
Vacant/Abandoned Building,18-03330589,12/11/2018,Front,,Open,,Vacant,FALSE,FALSE,4245,W,WILCOX,ST,60624,1148112.121,1898998.182,28,11,26,41.8787975,-87.73162574,"(41.878797497091, -87.73162573782)"
Vacant/Abandoned Building,18-03325912,12/10/2018,Front,,Open,,Vacant,FALSE,FALSE,2037,E,75TH,ST,60649,1191201.379,1855643.527,8,4,43,41.75889204,-87.57481768,"(41.758892042853, -87.574817681862)"
Vacant/Abandoned Building,18-03327788,12/10/2018,Rear,,Boarded,,Vacant,FALSE,FALSE,7241,S,VERNON,AVE,60619,1180500.128,1857103.274,6,3,69,41.76314997,-87.61399198,"(41.763149973318, -87.613991977247)"
Vacant/Abandoned Building,18-03323616,12/10/2018,Front,,Boarded,,Vacant,FALSE,TRUE,10817,S,HOXIE,AVE,60617,1195234.27,1833820.811,10,4,51,41.69891006,-87.56075551,"(41.698910058574, -87.560755507724)"
Vacant/Abandoned Building,18-03324149,12/10/2018,Front,,Open,FRONT,Vacant,FALSE,FALSE,3347,W,GLADYS,AVE,60624,1154031.683,1898094.706,28,11,27,41.87620233,-87.70991421,"(41.876202326042, -87.709914209784)"
Vacant/Abandoned Building,18-03326732,12/10/2018,Front,,Open,FRONT AND REAR DOORS..,Vacant,FALSE,TRUE,6045,S,THROOP,ST,60636,1168693.236,1864680.067,16,7,67,41.78420444,-87.65704796,"(41.784204437816, -87.657047956477)"
Vacant/Abandoned Building,18-03327093,12/10/2018,Front,,Open,FRONT,Vacant,FALSE,FALSE,7941,S,ESCANABA,AVE,60617,1196886.594,1852870.229,7,4,46,41.75114247,-87.5540742,"(41.751142466632, -87.554074197111)"
Vacant/Abandoned Building,18-03328912,12/10/2018,Front,,Open,,Vacant,FALSE,FALSE,2110,S,HALSTED,ST,60608,1171360.785,1890045.38,11,12,31,41.85375135,-87.64652436,"(41.853751347049, -87.646524356059)"
Vacant/Abandoned Building,18-03326968,12/10/2018,,,,,,,,8009,S,FRANCISCO,AVE,60652,1158437.023,1851382.393,18,8,70,41.74792884,-87.69501321,"(41.747928840583, -87.695013205603)"
Vacant/Abandoned Building,18-03327605,12/10/2018,,,,,,,,3026,W,LYNDALE,ST,60647,1155824.922,1914935.327,32,14,22,41.92237858,-87.70287562,"(41.922378579533, -87.702875623734)"
Vacant/Abandoned Building,18-03324524,12/10/2018,Rear,,Open,REAR DOOR,Vacant,FALSE,FALSE,5005,W,PENSACOLA,AVE,60641,1142336.178,1928460.434,45,16,15,41.95975419,-87.75210093,"(41.959754193993, -87.752100931662)"
Vacant/Abandoned Building,18-03326500,12/10/2018,Rear,,Open,,Vacant,FALSE,FALSE,1345,S,KEELER,AVE,60623,1148599.361,1893407.025,24,10,29,41.86344532,-87.72998097,"(41.863445317049, -87.729980970963)"
Vacant/Abandoned Building,18-03322110,12/10/2018,Front,,Boarded,,Vacant,FALSE,FALSE,1500,W,71ST,ST,60636,1167563.65,1857652.014,17,7,67,41.76494287,-87.66139079,"(41.764942871985, -87.661390785411)"
Vacant/Abandoned Building,18-03325427,12/10/2018,Front,,Open,FRONT,Vacant,FALSE,FALSE,7222,S,SANGAMON,ST,60621,1171224.497,1856945.108,6,7,68,41.76292378,-87.64799338,"(41.762923775106, -87.647993382127)"
Vacant/Abandoned Building,18-03326721,12/10/2018,Front,,Open,,Vacant,FALSE,FALSE,5752,W,DAKIN,ST,60634,1137297.36,1925669.789,38,16,15,41.95218869,-87.77069354,"(41.952188685484, -87.770693539954)"
Vacant/Abandoned Building,18-03328260,12/10/2018,Front,,Boarded,IS NOT OPEN,Vacant,FALSE,FALSE,10231,S,PEORIA,ST,60643,1172119.585,1836988.951,34,22,73,41.70814173,-87.64529747,"(41.708141734081, -87.645297465931)"
Vacant/Abandoned Building,18-03327165,12/10/2018,Front,,Open,,Vacant,TRUE,TRUE,5817,S,CARPENTER,ST,60621,1170309.862,1866153.827,16,7,68,41.78821356,-87.65107791,"(41.78821356147, -87.651077908948)"
Vacant/Abandoned Building,18-03326891,12/10/2018,Front,,Open,FRONT DOOR,Vacant,FALSE,FALSE,10110,S,MORGAN,ST,60643,1171433.727,1837778.08,34,22,73,41.71032224,-87.64778611,"(41.710322235787, -87.647786108398)"
Vacant/Abandoned Building,18-03319053,12/9/2018,Garage,,Open,GARAGE,Vacant,FALSE,TRUE,8435,S,MARSHFIELD,AVE,60620,1166810.314,1848772.109,21,6,71,41.74059129,-87.66440504,"(41.74059129189, -87.664405035395)"
Vacant/Abandoned Building,18-03317321,12/9/2018,Front,,Open,FRONT DOOR,Vacant,FALSE,FALSE,1339,S,KEELER,AVE,60623,1148598.061,1893447.325,24,10,29,41.86355593,-87.7299847,"(41.863555930209, -87.729984703518)"
Vacant/Abandoned Building,18-03317385,12/9/2018,Front,,Open,,Vacant,FALSE,FALSE,4843,S,CHAMPLAIN,AVE,60615,1181415.755,1873043.647,4,2,38,41.80687077,-87.61014467,"(41.806870769646, -87.610144666546)"
Vacant/Abandoned Building,18-03316675,12/9/2018,Garage,,Open,SIDE,Vacant,FALSE,FALSE,4907,W,BERTEAU,AVE,60641,1142806.906,1927472.47,45,16,15,41.95703436,-87.75039501,"(41.957034360275, -87.750395012452)"
Vacant/Abandoned Building,18-03317316,12/9/2018,Front,,Open,REAR DOOR,Vacant,FALSE,FALSE,1014,S,INDEPENDENCE,BLVD,60624,1151414.628,1895297.197,24,11,29,41.86857741,-87.71959664,"(41.868577407623, -87.719596644856)"
Vacant/Abandoned Building,18-03316467,12/9/2018,Front,,Open,,Vacant,FALSE,TRUE,825,N,LAWNDALE,AVE,60651,1151568.619,1905254.007,27,11,23,41.89589694,-87.71876954,"(41.895896935029, -87.718769541114)"
Vacant/Abandoned Building,18-03315291,12/8/2018,Front,,Open,,Occupied,FALSE,TRUE,7318,S,LANGLEY,AVE,60619,1182160.793,1856645.598,6,3,69,41.76185579,-87.60791954,"(41.761855794807, -87.607919541355)"
Vacant/Abandoned Building,18-03313242,12/8/2018,Front,,Boarded,,Vacant,FALSE,FALSE,836,N,WASHTENAW,AVE,60622,1158238.749,1905591.398,26,12,24,41.89668905,-87.69426227,"(41.896689045601, -87.694262266598)"
Vacant/Abandoned Building,18-03312378,12/8/2018,Front,,Open,FRONT DOOR AND WINDOWS,Vacant,FALSE,TRUE,7755,S,HALSTED,ST,60620,1172312.081,1853433.19,17,6,71,41.75326278,-87.64411033,"(41.7532627846, -87.644110331964)"
Vacant/Abandoned Building,18-03313950,12/8/2018,Rear,,Open,FRONT,Vacant,FALSE,FALSE,324,S,MOZART,ST,60612,1157435.899,1898435.515,27,11,27,41.87706901,-87.69740578,"(41.877069007382, -87.69740577837)"
Vacant/Abandoned Building,18-03307026,12/7/2018,Front,,Open,,Vacant,FALSE,FALSE,8551,S,SAGINAW,AVE,60617,1195313.006,1848785.269,7,4,46,41.73997198,-87.55997503,"(41.739971977073, -87.559975025166)"
Vacant/Abandoned Building,18-03309894,12/7/2018,Rear,,Open,REAR,Vacant,FALSE,FALSE,6432,S,HOYNE,AVE,60636,1163468.395,1861979.009,16,7,67,41.77690355,-87.67627996,"(41.776903550278, -87.67627996012)"
Vacant/Abandoned Building,18-03310225,12/7/2018,Front,,Open,,Vacant,TRUE,TRUE,6327,S,ADA,ST,60636,1168406.632,1862804.041,16,7,67,41.77906257,-87.65815276,"(41.779062574041, -87.658152762279)"
